Obs Group Diam1 Diam2 TotHt CanHt Dens LeafWt
 1  MCD  1.80  1.15  1.30  1.00  1   401.3
 2  MCD  1.70  1.35  1.35  1.33  1   513.7
 3  MCD  2.80  2.55  2.16  0.60  1  1179.2
 4  MCD  1.30  0.85  1.80  1.20  1   308.0
 5  MCD  3.30  1.90  1.55  1.05  1   855.2
 6  MCD  1.40  1.40  1.20  1.00  1   268.7
 7  MCD  1.50  0.50  1.00  0.90  1   155.5
 8  MCD  3.90  2.30  1.70  1.30  2  1253.2
 9  MCD  1.80  1.35  0.80  0.60  1   328.0
10  MCD  2.10  1.60  1.20  0.80  1   614.6
11  MCD  0.80  0.63  0.90  0.60  1    60.2
12  MCD  1.30  0.95  1.35  0.95  1   269.6
13  MCD  1.20  0.90  1.40  1.20  1   448.4
14  MCD  1.50  0.70  1.00  0.70  1   120.4
15  MCD  2.80  1.70  1.70  1.20  1   378.7
16  MCD  1.40  0.85  1.50  1.10  1   266.4
17  MCD  1.50  0.60  0.65  0.64  1   138.9
18  MCD  2.40  2.40  1.50  1.20  1  1020.8
19  MCD  1.90  1.55  1.70  1.20  1   635.7
20  MCD  2.30  1.60  1.70  1.30  1   621.8
21  MCD  2.10  1.70  1.50  1.00  1   579.8
22  MCD  2.40  1.30  1.50  0.90  2   326.8
23  MCD  1.00  0.40  1.20  1.00  1    66.7
24  MCD  1.30  0.60  0.70  0.50  1    68.0
25  MCD  1.10  0.70  1.20  0.90  1   153.1
26  MCD  1.30  1.20  0.80  0.60  1   256.4
27  ALS  2.50  2.30  1.70  1.40  5   723.0
28  ALS  5.20  4.00  3.00  2.50  9  4052.0
29  ALS  2.00  1.60  1.70  1.40  1   345.0
30  ALS  1.60  1.60  1.60  1.30  1   330.9
31  ALS  1.40  1.00  1.50  1.10  1   163.5
32  ALS  3.20  1.90  1.90  1.50  3  1160.0
33  ALS  1.90  1.80  1.10  0.80  1   386.6
34  ALS  2.40  2.40  1.60  1.10  3   693.5
35  ALS  2.50  1.80  2.00  1.30  7   674.4
36  ALS  2.10  1.50  1.25  0.85  1   217.5
37  ALS  2.40  2.20  2.00  1.50  2   771.3
38  ALS  2.40  1.70  1.30  1.20  2   341.7
39  ALS  1.90  1.20  1.45  1.15  2   125.7
40  ALS  2.70  2.50  2.20  1.50  3   462.5
41  ALS  1.30  1.10  0.70  0.70  1    64.5
42  ALS  2.90  2.70  1.90  1.90  1   850.6
43  ALS  2.10  1.00  1.80  1.50  2   226.0
44  ALS  4.10  3.80  2.00  1.50  2  1745.1
45  ALS  2.80  2.50  2.20  1.50  1   908.0
46  ALS  1.27  1.00  0.92  0.62  1   213.5
