# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
Phi;(real x);real;353
Phi_approx;(real x);real;353
abs;(int x);int;338
abs;(real x);real;345
acos;(real x);real;350
acosh;(real x);real;351
append_col;(matrix x, matrix y);matrix;381
append_col;(matrix x, vector y);matrix;381
append_col;(row_vector x, row_vector y);row_vector;381
append_col;(vector x, matrix y);matrix;381
append_col;(vector x, vector y);matrix;381
append_row;(matrix x, matrix y);matrix;381
append_row;(matrix x, row_vector y);matrix;381
append_row;(row_vector x, matrix y);matrix;381
append_row;(row_vector x, row_vector y);matrix;381
append_row;(vector x, vector y);vector;382
asin;(real x);real;350
asinh;(real x);real;351
atan2;(real x, real y);real;350
atan;(real x);real;350
atanh;(real x);real;351
bernoulli;~;real;403
bernoulli_cdf;(ints y, reals theta);real;403
bernoulli_lccdf;(ints y, reals theta);real;403
bernoulli_lcdf;(ints y, reals theta);real;403
bernoulli_logit;~;real;404
bernoulli_logit_lpmf;(ints y, reals alpha);real;404
bernoulli_lpmf;(ints y, reals theta);real;403
bernoulli_rng;(real theta);int;403
bessel_first_kind;(int v, real x);real;356
bessel_second_kind;(int v, real x);real;356
beta;~;real;438
beta_binomial;~;real;407
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;407
beta_binomial_lccdf;(ints n, ints N, reals alpha, reals beta);real;408
beta_binomial_lcdf;(ints n, ints N, reals alpha, reals beta);real;408
beta_binomial_lpmf;(ints n, ints N, reals alpha, reals beta);real;407
beta_binomial_rng;(int N, real alpha, real beta);int;408
beta_cdf;(reals theta, reals alpha, reals beta);real;438
beta_lccdf;(reals theta, reals alpha, reals beta);real;438
beta_lcdf;(reals theta, reals alpha, reals beta);real;438
beta_lpdf;(reals theta, reals alpha, reals beta);real;438
beta_rng;(real alpha, real beta);real;439
binary_log_loss;(int y, real y_hat);real;353
binomial;~;real;405
binomial_cdf;(ints n, ints N, reals theta);real;405
binomial_coefficient_log;(real x, real y);real;356
binomial_lccdf;(ints n, ints N, reals theta);real;406
binomial_lcdf;(ints n, ints N, reals theta);real;406
binomial_logit;~;real;407
binomial_logit_lpmf;(ints n, ints N, reals alpha);real;407
binomial_lpmf;(ints n, ints N, reals theta);real;405
binomial_rng;(int N, real theta);int;406
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;379
categorical;~;real;409
categorical_logit;~;real;409
categorical_logit_lpmf;(ints y, vector beta);real;409
categorical_lpmf;(ints y, vector theta);real;409
categorical_rng;(vector theta);int;409
cauchy;~;real;422
cauchy_cdf;(reals y, reals mu, reals sigma);real;422
cauchy_lccdf;(reals y, reals mu, reals sigma);real;422
cauchy_lcdf;(reals y, reals mu, reals sigma);real;422
cauchy_lpdf;(reals y, reals mu, reals sigma);real;422
cauchy_rng;(real mu, real sigma);real;422
cbrt;(real x);real;347
ceil;(real x);real;347
chi_square;~;real;427
chi_square_cdf;(reals y, reals nu);real;427
chi_square_lccdf;(reals y, reals nu);real;427
chi_square_lcdf;(reals y, reals nu);real;427
chi_square_lpdf;(reals y, reals nu);real;427
chi_square_rng;(real nu);real;427
cholesky_decompose;(matrix A);matrix;385
col;(matrix x, int n);vector;379
