# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
Phi;(T x);R;408
Phi_approx;(T x);R;408
abs;(T x);R;391
abs;(int x);int;400
abs;(real x);real;400
acos;(T x);R;405
acosh;(T x);R;406
append_col;(matrix x, matrix y);matrix;435
append_col;(matrix x, vector y);matrix;435
append_col;(real x, row_vector y);row_vector;435
append_col;(row_vector x, real y);row_vector;435
append_col;(row_vector x, row_vector y);row_vector;435
append_col;(vector x, matrix y);matrix;435
append_col;(vector x, vector y);matrix;435
append_row;(matrix x, matrix y);matrix;436
append_row;(matrix x, row_vector y);matrix;436
append_row;(real x, vector y);vector;436
append_row;(row_vector x, matrix y);matrix;436
append_row;(row_vector x, row_vector y);matrix;436
append_row;(vector x, real y);vector;436
append_row;(vector x, vector y);vector;436
asin;(T x);R;405
asinh;(T x);R;406
atan2;(real x, real y);real;405
atan;(T x);R;405
atanh;(T x);R;406
bernoulli;~;real;458
bernoulli_cdf;(ints y, reals theta);real;458
bernoulli_lccdf;(ints y | reals theta);real;458
bernoulli_lcdf;(ints y | reals theta);real;458
bernoulli_logit;~;real;459
bernoulli_logit_lpmf;(ints y | reals alpha);real;459
bernoulli_logit_rng;(real alpha);int;459
bernoulli_lpmf;(ints y | reals theta);real;458
bernoulli_rng;(real theta);int;458
bessel_first_kind;(int v, real x);real;411
bessel_second_kind;(int v, real x);real;411
beta;~;real;493
beta_binomial;~;real;462
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;462
beta_binomial_lccdf;(ints n | ints N, reals alpha, reals beta);real;463
beta_binomial_lcdf;(ints n | ints N, reals alpha, reals beta);real;462
beta_binomial_lpmf;(ints n | ints N, reals alpha, reals beta);real;462
beta_binomial_rng;(int N, real alpha, real beta);int;463
beta_cdf;(reals theta, reals alpha, reals beta);real;493
beta_lccdf;(reals theta | reals alpha, reals beta);real;493
beta_lcdf;(reals theta | reals alpha, reals beta);real;493
beta_lpdf;(reals theta | reals alpha, reals beta);real;493
beta_rng;(real alpha, real beta);real;494
binary_log_loss;(int y, real y_hat);real;408
binomial;~;real;460
binomial_cdf;(ints n, ints N, reals theta);real;460
binomial_coefficient_log;(real x, real y);real;411
binomial_lccdf;(ints n | ints N, reals theta);real;461
binomial_lcdf;(ints n | ints N, reals theta);real;461
binomial_logit;~;real;461
binomial_logit_lpmf;(ints n | ints N, reals alpha);real;462
binomial_lpmf;(ints n | ints N, reals theta);real;460
binomial_rng;(int N, real theta);int;461
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;434
categorical;~;real;464
categorical_logit;~;real;464
categorical_logit_lpmf;(ints y | vector beta);real;464
categorical_lpmf;(ints y | vector theta);real;464
categorical_rng;(vector theta);int;464
cauchy;~;real;477
cauchy_cdf;(reals y, reals mu, reals sigma);real;477
cauchy_lccdf;(reals y | reals mu, reals sigma);real;477
cauchy_lcdf;(reals y | reals mu, reals sigma);real;477
cauchy_lpdf;(reals y | reals mu, reals sigma);real;477
cauchy_rng;(real mu, real sigma);real;477
cbrt;(T x);R;402
ceil;(T x);R;402
chi_square;~;real;482
chi_square_cdf;(reals y, reals nu);real;482
chi_square_lccdf;(reals y | reals nu);real;482
chi_square_lcdf;(reals y | reals nu);real;482
chi_square_lpdf;(reals y | reals nu);real;482
chi_square_rng;(real nu);real;482
cholesky_decompose;(matrix A);matrix;442
col;(matrix x, int n);vector;433
cols;(matrix x);int;423
cols;(row_vector x);int;423
cols;(vector x);int;423
columns_dot_product;(matrix x, matrix y);row_vector;428
columns_dot_product;(row_vector x, row_vector y);row_vector;428
columns_dot_product;(vector x, vector y);row_vector;428
columns_dot_self;(matrix x);row_vector;429
columns_dot_self;(row_vector x);row_vector;428
columns_dot_self;(vector x);row_vector;428
cos;(T x);R;404
cosh;(T x);R;406
cov_exp_quad;(real[] x, real sigma, real l);matrix;438
cov_exp_quad;(real[] x1, real[] x2 real sigma, real l);matrix;438
cov_exp_quad;(row_vectors x, real sigma, real l);matrix;438
cov_exp_quad;(row_vectors x1, row_vectors x2 real sigma, real l);matrix;438
cov_exp_quad;(vectors x, real sigma, real l);matrix;438
cov_exp_quad;(vectors x1, vectors x2 real sigma, real l);matrix;438
crossprod;(matrix x);matrix;429
csr_extract_u;(matrix a);int[];445
csr_extract_v;(matrix a);int[];445
csr_extract_w;(matrix a);vector;445
csr_matrix_times_vector;(int m, int n, vector w int[] v, int[] u, vector b);vector;446
csr_to_dense_matrix;(int m, int n, vector w, int[] v, int[] u);matrix;445
cumulative_sum;(real[] x);real[];437
cumulative_sum;(row_vector rv);row_vector;437
cumulative_sum;(vector v);vector;437
determinant;(matrix A);real;440
diag_matrix;(vector x);matrix;433
diag_post_multiply;(matrix m, row_vector rv);matrix;430
diag_post_multiply;(matrix m, vector v);matrix;430
diag_pre_multiply;(row_vector rv, matrix m);matrix;430
diag_pre_multiply;(vector v, matrix m);matrix;430
