# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
abs;(int x);int;292
abs;(real x);real;301
acos;(real x);real;306
acosh;(real x);real;307
append_col;(matrix x, matrix y);matrix;334
append_col;(matrix x, vector y);matrix;335
append_col;(row_vector x, row_vector y);row_vector;335
append_col;(vector x, matrix y);matrix;335
append_col;(vector x, vector y);matrix;335
append_row;(matrix x, matrix y);matrix;335
append_row;(matrix x, row_vector y);matrix;335
append_row;(row_vector x, matrix y);matrix;335
append_row;(row_vector x, row_vector y);matrix;335
append_row;(vector x, vector y);vector;335
asin;(real x);real;306
asinh;(real x);real;307
atan2;(real x, real y);real;306
atan;(real x);real;306
atanh;(real x);real;307
bernoulli;~;real;345
bernoulli_ccdf_log;(ints y, reals theta);real;345
bernoulli_cdf;(ints y, reals theta);real;345
bernoulli_cdf_log;(ints y, reals theta);real;345
bernoulli_log;(ints y, reals theta);real;345
bernoulli_logit;~;real;346
bernoulli_logit_log;(ints y, reals alpha);real;346
bernoulli_rng;(real theta);int;345
bessel_first_kind;(int v, real x);real;311
bessel_second_kind;(int v, real x);real;312
beta;~;real;379
beta_binomial;~;real;349
beta_binomial_ccdf_log;(ints n, ints N, reals alpha, reals beta);real;350
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;349
beta_binomial_cdf_log;(ints n, ints N, reals alpha, reals beta);real;350
beta_binomial_log;(ints n, ints N, reals alpha, reals beta);real;349
beta_binomial_rng;(int N, real alpha, real beta);int;350
beta_ccdf_log;(reals theta, reals alpha, reals beta);real;379
beta_cdf;(reals theta, reals alpha, reals beta);real;379
beta_cdf_log;(reals theta, reals alpha, reals beta);real;379
beta_log;(reals theta, reals alpha, reals beta);real;379
beta_rng;(real alpha, real beta);real;380
binary_log_loss;(int y, real y_hat);real;309
binomial;~;real;347
binomial_ccdf_log;(ints n, ints N, reals theta);real;348
binomial_cdf;(ints n, ints N, reals theta);real;347
binomial_cdf_log;(ints n, ints N, reals theta);real;348
binomial_coefficient_log;(real x, real y);real;311
binomial_log;(ints n, ints N, reals theta);real;347
binomial_logit;~;real;349
binomial_logit_log;(ints n, ints N, reals alpha);real;349
binomial_rng;(int N, real theta);int;348
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;333
categorical;~;real;351
categorical_log;(ints y, vector theta);real;351
categorical_logit;~;real;351
categorical_logit_log;(ints y, vector beta);real;351
categorical_rng;(vector theta);int;351
cauchy;~;real;364
cauchy_ccdf_log;(reals y, reals mu, reals sigma);real;364
cauchy_cdf;(reals y, reals mu, reals sigma);real;364
cauchy_cdf_log;(reals y, reals mu, reals sigma);real;364
cauchy_log;(reals y, reals mu, reals sigma);real;364
cauchy_rng;(real mu, real sigma);real;364
cbrt;(real x);real;303
ceil;(real x);real;302
chi_square;~;real;369
chi_square_ccdf_log;(reals y, reals nu);real;369
chi_square_cdf;(reals y, reals nu);real;369
chi_square_cdf_log;(reals y, reals nu);real;369
chi_square_log;(reals y, reals nu);real;369
chi_square_rng;(real nu);real;369
cholesky_decompose;(matrix A);matrix;339
col;(matrix x, int n);vector;333
cols;(matrix x);int;322
cols;(row_vector x);int;322
cols;(vector x);int;322
columns_dot_product;(matrix x, matrix y);row_vector;327
columns_dot_product;(row_vector x, row_vector y);row_vector;327
columns_dot_product;(vector x, vector y);row_vector;327
columns_dot_self;(matrix x);row_vector;328
columns_dot_self;(row_vector x);row_vector;328
columns_dot_self;(vector x);row_vector;328
cos;(real x);real;305
cosh;(real x);real;306
crossprod;(matrix x);matrix;328
cumulative_sum;(real[] x);real[];327
cumulative_sum;(row_vector rv);row_vector;327
cumulative_sum;(vector v);vector;327
determinant;(matrix A);real;337
diag_matrix;(vector x);matrix;333
diag_post_multiply;(matrix m, row_vector rv);matrix;330
diag_post_multiply;(matrix m, vector v);matrix;329
diag_pre_multiply;(row_vector rv, matrix m);matrix;329
diag_pre_multiply;(vector v, matrix m);matrix;329
diagonal;(matrix x);vector;332
digamma;(real x);real;310
dims;(T x);int[];318
dirichlet;~;real;391
dirichlet_log;(vector theta, vector alpha);real;391
dirichlet_rng;(vector alpha);vector;391
distance;(row_vector x, row_vector y);real;318
distance;(row_vector x, vector y);real;317
distance;(vector x, row_vector y);real;317
distance;(vector x, vector y);real;317
dot_product;(row_vector x, row_vector y);real;327
dot_product;(row_vector x, vector y);real;327
dot_product;(vector x, row_vector y);real;327
dot_product;(vector x, vector y);real;327
dot_self;(row_vector x);real;328
dot_self;(vector x);real;328
double_exponential;~;real;365
double_exponential_ccdf_log;(reals y, reals mu, reals sigma);real;365
