# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
Phi;(T x);R;427
Phi_approx;(T x);R;427
abs;(T x);R;410
abs;(int x);int;419
abs;(real x);real;419
acos;(T x);R;424
acosh;(T x);R;425
append_col;(matrix x, matrix y);matrix;455
append_col;(matrix x, vector y);matrix;456
append_col;(real x, row_vector y);row_vector;456
append_col;(row_vector x, real y);row_vector;456
append_col;(row_vector x, row_vector y);row_vector;456
append_col;(vector x, matrix y);matrix;456
append_col;(vector x, vector y);matrix;456
append_row;(matrix x, matrix y);matrix;456
append_row;(matrix x, row_vector y);matrix;456
append_row;(real x, vector y);vector;457
append_row;(row_vector x, matrix y);matrix;456
append_row;(row_vector x, row_vector y);matrix;456
append_row;(vector x, real y);vector;457
append_row;(vector x, vector y);vector;456
asin;(T x);R;424
asinh;(T x);R;425
atan2;(real x, real y);real;424
atan;(T x);R;424
atanh;(T x);R;425
bernoulli;~;real;478
bernoulli_cdf;(ints y, reals theta);real;478
bernoulli_lccdf;(ints y | reals theta);real;478
bernoulli_lcdf;(ints y | reals theta);real;478
bernoulli_logit;~;real;479
bernoulli_logit_lpmf;(ints y | reals alpha);real;479
bernoulli_logit_rng;(real alpha);int;479
bernoulli_lpmf;(ints y | reals theta);real;478
bernoulli_rng;(real theta);int;478
bessel_first_kind;(int v, real x);real;430
bessel_second_kind;(int v, real x);real;431
beta;~;real;513
beta_binomial;~;real;482
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;482
beta_binomial_lccdf;(ints n | ints N, reals alpha, reals beta);real;483
beta_binomial_lcdf;(ints n | ints N, reals alpha, reals beta);real;483
beta_binomial_lpmf;(ints n | ints N, reals alpha, reals beta);real;482
beta_binomial_rng;(int N, real alpha, real beta);int;483
beta_cdf;(reals theta, reals alpha, reals beta);real;513
beta_lccdf;(reals theta | reals alpha, reals beta);real;513
beta_lcdf;(reals theta | reals alpha, reals beta);real;513
beta_lpdf;(reals theta | reals alpha, reals beta);real;513
beta_rng;(real alpha, real beta);real;514
binary_log_loss;(int y, real y_hat);real;427
binomial;~;real;480
binomial_cdf;(ints n, ints N, reals theta);real;480
binomial_coefficient_log;(real x, real y);real;430
binomial_lccdf;(ints n | ints N, reals theta);real;481
binomial_lcdf;(ints n | ints N, reals theta);real;481
binomial_logit;~;real;482
binomial_logit_lpmf;(ints n | ints N, reals alpha);real;482
binomial_lpmf;(ints n | ints N, reals theta);real;480
binomial_rng;(int N, real theta);int;481
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;454
categorical;~;real;484
categorical_logit;~;real;484
categorical_logit_lpmf;(ints y | vector beta);real;484
categorical_lpmf;(ints y | vector theta);real;484
categorical_rng;(vector theta);int;484
cauchy;~;real;497
cauchy_cdf;(reals y, reals mu, reals sigma);real;497
cauchy_lccdf;(reals y | reals mu, reals sigma);real;497
cauchy_lcdf;(reals y | reals mu, reals sigma);real;497
cauchy_lpdf;(reals y | reals mu, reals sigma);real;497
cauchy_rng;(real mu, real sigma);real;497
cbrt;(T x);R;421
ceil;(T x);R;421
chi_square;~;real;502
chi_square_cdf;(reals y, reals nu);real;502
chi_square_lccdf;(reals y | reals nu);real;502
chi_square_lcdf;(reals y | reals nu);real;502
chi_square_lpdf;(reals y | reals nu);real;502
chi_square_rng;(real nu);real;502
cholesky_decompose;(matrix A);matrix;462
choose;(int x, int y);int;430
col;(matrix x, int n);vector;454
cols;(matrix x);int;443
cols;(row_vector x);int;443
cols;(vector x);int;443
columns_dot_product;(matrix x, matrix y);row_vector;448
columns_dot_product;(row_vector x, row_vector y);row_vector;448
columns_dot_product;(vector x, vector y);row_vector;448
columns_dot_self;(matrix x);row_vector;449
columns_dot_self;(row_vector x);row_vector;448
columns_dot_self;(vector x);row_vector;448
cos;(T x);R;423
cosh;(T x);R;425
cov_exp_quad;(real[] x, real sigma, real l);matrix;458
cov_exp_quad;(real[] x1, real[] x2 real sigma, real l);matrix;459
cov_exp_quad;(row_vectors x, real sigma, real l);matrix;458
cov_exp_quad;(row_vectors x1, row_vectors x2 real sigma, real l);matrix;458
cov_exp_quad;(vectors x, real sigma, real l);matrix;458
cov_exp_quad;(vectors x1, vectors x2 real sigma, real l);matrix;459
crossprod;(matrix x);matrix;449
csr_extract_u;(matrix a);int[];465
csr_extract_v;(matrix a);int[];465
csr_extract_w;(matrix a);vector;465
csr_matrix_times_vector;(int m, int n, vector w int[] v, int[] u, vector b);vector;466
csr_to_dense_matrix;(int m, int n, vector w, int[] v, int[] u);matrix;465
cumulative_sum;(real[] x);real[];458
cumulative_sum;(row_vector rv);row_vector;458
cumulative_sum;(vector v);vector;458
determinant;(matrix A);real;461
diag_matrix;(vector x);matrix;453
diag_post_multiply;(matrix m, row_vector rv);matrix;450
diag_post_multiply;(matrix m, vector v);matrix;450
diag_pre_multiply;(row_vector rv, matrix m);matrix;450
diag_pre_multiply;(vector v, matrix m);matrix;450
diagonal;(matrix x);vector;453
digamma;(T x);R;429
dims;(T x);int[];439
dirichlet;~;real;525
dirichlet_lpdf;(vector theta | vector alpha);real;525
dirichlet_rng;(vector alpha);vector;525
distance;(row_vector x, row_vector y);real;438
distance;(row_vector x, vector y);real;438
distance;(vector x, row_vector y);real;438
distance;(vector x, vector y);real;438
dot_product;(row_vector x, row_vector y);real;448
dot_product;(row_vector x, vector y);real;448
dot_product;(vector x, row_vector y);real;448
dot_product;(vector x, vector y);real;448
dot_self;(row_vector x);real;448
dot_self;(vector x);real;448
double_exponential;~;real;498
double_exponential_cdf;(reals y, reals mu, reals sigma);real;498
double_exponential_lccdf;(reals y | reals mu, reals sigma);real;498
double_exponential_lcdf;(reals y | reals mu, reals sigma);real;498
double_exponential_lpdf;(reals y | reals mu, reals sigma);real;498
double_exponential_rng;(real mu, real sigma);real;498
e;();real;413
eigenvalues_sym;(matrix A);vector;461
eigenvectors_sym;(matrix A);matrix;461
erf;(T x);R;426
erfc;(T x);R;427
exp2;(T x);R;422
exp;(T x);R;422
exp_mod_normal;~;real;494
exp_mod_normal_cdf;(reals y, reals mu, reals sigma reals lambda);real;494
exp_mod_normal_lccdf;(reals y | reals mu, reals sigma reals lambda);real;494
exp_mod_normal_lcdf;(reals y | reals mu, reals sigma reals lambda);real;494
exp_mod_normal_lpdf;(reals y | reals mu, reals sigma reals lambda);real;494
exp_mod_normal_rng;(real mu, real sigma, real lambda);real;495
expm1;(T x);R;433
exponential;~;real;504
exponential_cdf;(reals y, reals beta);real;505
exponential_lccdf;(reals y | reals beta);real;505
exponential_lcdf;(reals y | reals beta);real;505
exponential_lpdf;(reals y | reals beta);real;504
exponential_rng;(real beta);real;505
fabs;(T x);R;419
falling_factorial;(real x, real n);real;432
fdim;(real x, real y);real;419
floor;(T x);R;421
fma;(real x, real y, real z);real;433
fmax;(real x, real y);real;420
fmin;(real x, real y);real;420
fmod;(real x, real y);real;420
frechet;~;real;508
frechet_cdf;(reals y, reals alpha, reals sigma);real;508
frechet_lccdf;(reals y | reals alpha, reals sigma);real;508
frechet_lcdf;(reals y | reals alpha, reals sigma);real;508
frechet_lpdf;(reals y | reals alpha, reals sigma);real;508
frechet_rng;(real alpha, real sigma);real;508
gamma;~;real;505
gamma_cdf;(reals y, reals alpha, reals beta);real;505
gamma_lccdf;(reals y | reals alpha, reals beta);real;506
gamma_lcdf;(reals y | reals alpha, reals beta);real;505
gamma_lpdf;(reals y | reals alpha, reals beta);real;505
gamma_p;(real a, real z);real;429
gamma_q;(real a, real z);real;430
gamma_rng;(real alpha, real beta);real;506
gaussian_dlm_obs;~;real;523
gaussian_dlm_obs_lpdf;(matrix y | matrix F, matrix G, matrix V matrix W, vector m0, matrix C0);real;524
gaussian_dlm_obs_lpdf;(matrix y | matrix F, matrix G, vector V matrix W, vector m0, matrix C0);real;524
get_lp;();real;414
gumbel;~;real;499
gumbel_cdf;(reals y, reals mu, reals beta);real;500
gumbel_lccdf;(reals y | reals mu, reals beta);real;500
gumbel_lcdf;(reals y | reals mu, reals beta);real;500
gumbel_lpdf;(reals y | reals mu, reals beta);real;500
gumbel_rng;(real mu, real beta);real;500
head;(T[] sv, int n);T[];455
head;(row_vector rv, int n);row_vector;455
head;(vector v, int n);vector;454
hypergeometric;~;real;483
hypergeometric_lpmf;(int n | int N, int a, int b);real;483
hypergeometric_rng;(int N, real a, real b);int;483
hypot;(real x, real y);real;423
inc_beta;(real alpha, real beta, real x);real;428
int_step;(int x);int;410
int_step;(real x);int;410
