freq n.treated mean.treated se.treated n.control mean.control se.control
    1       32     .995   .041    32    1.036   .041
   15       32    1.013   .042    36    1.173   .034
   30       32    1.033   .032    32    1.107   .035
   45       32     .990   .032    32    1.181   .052
   60       32     .998   .040    32    1.136   .044
   75       32     .992   .033    32    1.148   .044
   90       28     .984   .035    32    1.094   .036
  105       32     .981   .029    32    1.143   .041
  120       32    1.037   .035    32    1.084   .035
  135       32    1.002   .054    32    1.211   .047
  150       32    1.015   .052    32    1.019   .042
  165       28    1.051   .054    28    1.012   .030
  165       32    1.016   .033    32    1.044   .035
  180       32     .960   .045    32    1.086   .038
  180       28     .974   .052    32    1.100   .039
  195       32     .987   .039    32    1.157   .035
  210       32    1.015   .040    32    1.052   .040
  225       32     .979   .038    32    1.183   .049
  240       32    1.028   .036    32    1.042   .052
  255       32    1.003   .039    32    1.359   .099
  270       32    1.020   .043    32    1.055   .033
  285       32    1.076   .057    32    1.395   .047
  300       32    1.024   .036    32    1.046   .039
  315       28     .975   .033    28    1.283   .035
  330       32    1.041   .049    32    1.066   .038
  345       32    1.011   .046    32    1.029   .044
  360       32    1.010   .056    32    1.055   .037
  375       28    1.022   .039    32    1.088   .044
  390       32     .981   .037    32    1.067   .045
  405       32     .955   .037    32    1.093   .047
  405       32     .955   .025    32    1.074   .050
  420       32    1.013   .035    36    1.070   .032
  435       32    1.010   .039    32    1.029   .048
  450       32    1.063   .037    32    1.134   .038
  465       32    1.036   .034    32    1.071   .041
  480       32    1.058   .050    32    1.018   .046
  495       32     .997   .031    32    1.080   .051
  510       32    1.013   .040    32    1.021   .037
