   HW1    HW2    HW3    HW4 Midterm HW5    HW6    HW7	 Final   
    95     88    100     95    80    96     99      0	 103       
     0     74     74      0    53    83     97      0	  79           
   100      0    105    100    91    96    100     96	 122            
     0     90     76    100    63    91     95      0	  78          
   100     96     99    100    91    93    100     92    135 
    90     83     95    100    73    89    100     90    117 
    95     98    100    100    59    98     98     94    135 
    80    100     97    100    69    94     98    101	 123 
    95     90     98     90    78    95     99    100    109 
    90     94     95     98    91    94    100     89 	 126 
   100    100     99    100    79    99    100    103    124 
   100     95     87    100    81     0    100     84    126 
    95     71     95     98    71    94    100     97    130 
   100     93     97     80    74    95     98     90    117 
   100     95     92    100    76    95     99     97    133 
   100    100    100     95    80    94    100     99  	 118 
   100     97     92    100    89    89    100     90	 127 
   100     95    100    100    91    98    100      0    118 
   100    100     91    100    90    94    100     97    138 
    85     90    100     90    93    90     98    100  	 143 
    95    100     99     95    96    98    100     95    135 
   100     73     92    100    88    90     98      0    129 
    75     90     91     78    90    86    100     92     91 
    95    100     99    100    79    92     99      0     95 
    95      0    105    100    81    95     98     89 	 121 
   100    100     98    100    83    97    100    102    131 
   100     99     91    100    94     0    100     92    144 
   100     98     97    100    70    91    100     95    112 
     0     90     85    100    79    94     99     89  	 132 
    80      0     74      0    74    15     97     16    121 
   100     95     98    100    84    96     99      0    121 
    90     96     97     95    79     0     99     89  	 126 
    95     94     93     95    91    99    100      0  	 116 
   100    100     98    100    77    98    100     92    112 
    90     85     91     94    65    95    100     96    114 
   100     95    100    100    76    92    100      0 	 121 
   100     85     99     95    70    90      0      0    126 
    90    100    100     95    80    98    100     90    122 
    70     81     95    100    77    90     99     86    118 
   100     99     99     98    89    96     99      0    123 
     0     56     95    100    70    88     98     94     87 
    70     95     92    100    88    96    100     98    136 
    95     95     89     95    71    91    100     99  	 120 
    95     85     97     95    66    96     99     90    140 
   100     98     95     98    81    98    100     96 	 125 
    90     90     98     94    67    93    100     93     86 
   100      0      0     77    81     0      0     85    145 
    85     93     97     95    79    92     99     97    128 
    95     86     97     90    68    92    100    100    121 
   100     61     94     95    77    92     98     98     98 
   100    100     97    100    70    99      0     97    134 
    95     94     80     93    75    94     98     94  	  99 
 
 
 
